名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
玉阁胡同,东城安定门,"玉阁胡同, 玉阁三巷",157143,平房,38户,3栋,暂无信息,暂无信息,暂无信息,无物业管理服务,暂无信息
地兴居,东城安定门,安外地兴居,101467,板楼,260户,5栋,暂无信息,暂无信息,0.8至2元/平米/月,暂无信息,无开发商
东绦胡同,东城安定门,安定门二环内,169365,平房,48户,14栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
府上嘉园,东城安定门,六铺炕甲3,142236,板楼/塔板结合,287户,2栋,暂无信息,暂无信息,2.79至2.8元/平米/月,暂无信息,北京安瑞房地产开发有限公司
国祥胡同,东城安定门,国祥胡同,141003,板楼/平房,66户,12栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
国祥胡同4号院,东城安定门,国祥胡同4号院,140959,板楼,123户,2栋,暂无信息,暂无信息,暂无信息,业主自筹物业,无开发商
官书院,东城安定门,永康胡同2号院,136682,板楼,486户,7栋,暂无信息,暂无信息,2.53元/平米/月,北京兰基物业管理有限公司,北京天石恒房地产开发有限公司
黄寺大街28号院,朝阳安定门,黄寺大街28号院,92311,板楼/塔板结合,227户,3栋,暂无信息,暂无信息,1.5至1.53元/平米/月,单位自管物业,无开发商
黄寺大街2号院,东城安定门,黄寺大街2号院,105744,板楼,264户,2栋,暂无信息,暂无信息,0.5至0.6元/平米/月,北京天岳恒房屋经营管理有限公司,无开发公司
湖景苑,东城安定门,安德里北街甲22号,107759,板楼/塔板结合,418户,5栋,暂无信息,暂无信息,2.17至2.53元/平米/月,北京维佳物业管理有限责任公司,北京城乡建设集团有限责任公司
国子监街,东城安定门,国子监街,227068,平房,354户,84栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
华府景园,东城安定门,安外大街11号院,103565,塔板结合,324户,6栋,暂无信息,暂无信息,2.48元/平米/月,北京天鸿宝地物业管理经营有限公司,北京强佑房地产开发有限公司
巷上嘉园,东城安定门,安德路甲10号院,112752,塔楼/板楼,462户,4栋,暂无信息,暂无信息,2.88元/平米/月,北京祥洪永佳物业管理有限公司,北京中房万丰房地产开发有限公司
西营房,东城安定门,西营房胡同9号院,101466,塔楼,940户,6栋,暂无信息,暂无信息,1元/平米/月,街道办事处（委员会）代管物业,北京腾利达房地产开发经营公司
永康胡同5号院,东城安定门,永康胡同5号院,145419,板楼,196户,3栋,暂无信息,暂无信息,1元/平米/月,北京首华物业管理有限公司,无开发商
永康胡同1号院,东城安定门,永康胡同1号院,135648,板楼,392户,3栋,暂无信息,暂无信息,0.5至0.55元/平米/月,北京兰基物业管理有限公司,北京天石恒房地产开发有限公司
永康胡同,东城安定门,永康胡同,0,平房,30户,6栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
永康胡同18号院,东城安定门,永康胡同18号院,150473,板楼,172户,3栋,暂无信息,暂无信息,暂无信息,单位自管物业,无开发商
赵府街,东城安定门,赵府街,201021,平房,216户,54栋,暂无信息,暂无信息,暂无信息,无物业管理服务,暂无信息
中绦胡同甲2号院,东城安定门,中绦胡同甲2号院,138639,板楼,216户,2栋,暂无信息,暂无信息,0.8元/平米/月,北京首华物业管理公司,无开发商
鼓楼外大街52号,东城安定门,鼓楼外大街52号,123510,板楼,227户,1栋,暂无信息,暂无信息,1.2元/平米/月,北控物业,水利电力规划院
花园胡同8号院,东城安定门,花园胡同8号院,130244,板楼,160户,3栋,暂无信息,暂无信息,暂无信息,单位自管物业,无开发商
北锣鼓巷,东城安定门,北锣鼓巷,220588,平房,217户,56栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
柴棒胡同,东城安定门,柴棒胡同,208662,平房,181户,27栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
车辇店胡同,东城安定门,车辇店胡同,119483,板楼/塔板结合/平房,416户,18栋,暂无信息,暂无信息,1.1元/平米/月,无物业管理服务,北京京湘房地产开发有限责任公司
大格巷,东城安定门,大格巷,195179,平房,87户,23栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
净土胡同,东城安定门,净土胡同,295000,平房,220户,55栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
京宝花园,东城安定门,安定门外大街,77567,板楼,350户,1栋,暂无信息,暂无信息,3.88元/平米/月,北京宝景物业管理有限公司,北京首开天鸿集团有限公司
凯景铭座,朝阳安定门,外馆东街51号院,75294,塔楼/塔板结合,290户,2栋,暂无信息,暂无信息,2.63至2.68元/平米/月,北京均豪物业管理有限责任公司,北京强佑房地产开发有限公司
朗家胡同13号院,东城安定门,朗家胡同13号院,139427,板楼,145户,3栋,暂无信息,暂无信息,1.29元/平米/月,业主自筹物业,无开发商
宝钞苑,东城安定门,宝钞胡同1号院,129478,板楼,82户,1栋,暂无信息,暂无信息,2.84元/平米/月,北京万鑫物业管理有限公司,北京园丁房地产开发有限责任公司
