名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
桂苑,锦江川师,"静安路5号, 狮子山路3号",17043,板楼,1761户,42栋,商品房/已购公房/私产/拆迁安置房,1970-2015年 ,0.25至0.76元/平米/月,小区业主自发, 陕西亿润经贸有限公司 
翰林美居,锦江川师,菱安路111号,30928,塔楼/板楼,109户,3栋,商品房,2015年 ,3.5元/平米/月,成都自由时尚物业管理有限公司,成都市德瑜房地产实业有限公司
嘉和园二期,锦江川师,劼人路238号,12157,板楼,705户,9栋,商品房/经济适用房/拆迁安置房,2002年 ,0.5元/平米/月,私人承办物业,成都高投置业有限公司
辉煌佳苑,锦江川师,狮子山路2号,11964,板楼,473户,11栋,商品房/已购公房/经济适用房/私产,1981-2008年 ,0.5元/平米/月,私人承办物业,无开发商
爱丁郡院,锦江川师,菱窠路300号,19769,塔楼/板楼,684户,5栋,商品房,2007-2010年 ,1.5元/平米/月,成都欣立物业服务有限公司,四川省辉皇富源科技开发有限公司
明珠园一期,锦江川师,菱窠路109号,15278,板楼,390户,9栋,商品房/拆迁安置房,2004年 ,0.5至0.6元/平米/月,私人承办物业,成都安信置业发展有限公司 
川附苑,锦江川师,菱安路103号,13715,板楼,144户,3栋,商品房,1974-2015年 ,0.3元/平米/月,小区物业, 大理耀鹏房地产开发有限责任公司
柳堤小区,锦江川师,静安路5号,13538,板楼,96户,8栋,商品房/已购公房,2000-2003年 ,0.3元/平米/月,小区物业,成都置信集团
大观祥苑,锦江川师,锦绣大道3800号,13639,塔板结合,505户,2栋,商品房/拆迁安置房,1999-2019年 ,0.25元/平米/月,业主自筹物业,金科地产开发有限公司
静安路7号,锦江川师,静安路7号,0,板楼,142户,1栋,商品房/私产,2012年 ,2元/平米/月,成都仁和春天物业管理有限公司,成都通合置业
华润凯旋天地,锦江川师,中环锦绣大道菱窠路口华润凯旋天地,22690,塔楼/塔板结合,1091户,10栋,商品房/使用权/私产/拆迁安置房,2014-2016年 ,3.2至6.5元/平米/月,暂无信息,成都锦兴华润置地有限公司
中化润达丰滨江樾城,锦江川师,中环路锦绣大道段中化润达丰滨江樾城,19101,塔楼,3504户,44栋,商品房,2022年 ,3.8元/平米/月,四川滨江鼎信物业服务有限公司,四川中化锦城置业有限公司
比华利国际城三期,锦江川师,佳宏北路39号,25693,板楼/塔板结合,1255户,6栋,商品房,2013-2015年 ,2.2至3.5元/平米/月,四川佳宏物业管理有限公司,成都佳宏房地产开发有限公司
校园春天,锦江川师,静安路3号,16917,塔楼/板楼,795户,12栋,商品房/私产,2004年 ,1元/平米/月,成都仁和春天物业管理有限公司,成都春天房地产开发有限公司
德馨苑,锦江川师,菱安路333号,26235,塔楼/塔板结合,573户,3栋,商品房/私产,2011年 ,1.4至1.5元/平米/月,北京和泓物业服务有限公司成都分公司,四川蜀府房屋建设开发公司
嘉和园一期,锦江川师,劼人路143号,12006,板楼,770户,10栋,商品房/经济适用房/使用权/公租房/拆迁安置房,2002-2003年 ,0.5元/平米/月,私人承办物业,成都高投置业有限公司
中化滨江锦府,锦江川师,佳宏路50号,22820,塔楼,683户,3栋,商品房/拆迁安置房,2020年 ,1.8元/平米/月,四川滨江鼎信物业服务有限公司成都分公司,四川中化锦城置业有限公司
万科城市花园,锦江川师,"静安路1号, 花园街123号, 花园街31号",29284,板楼/塔板结合,3881户,102栋,商品房/使用权/私产,2000-2017年 ,1.8至3.2元/平米/月,暂无信息,成都万科锦江置业有限公司
锦江国际花园,锦江川师,锦绣大道355号,19051,塔楼/板楼,1668户,8栋,商品房,2014-2016年 ,2.6至6元/平米/月,中国铁建物业管理有限公司成都分公司,成都中铁建锦城投资有限公司
比华利国际城一期,锦江川师,佳宏路220号,19136,塔楼/塔板结合,2036户,16栋,商品房/使用权/共有产权房,2008年 ,1.45至1.5元/平米/月,北京世邦魏理仕物业管理服务有限公司成都分公司,成都佳宏房地产开发有限公司
华润幸福里二期,锦江川师,菱安路266号,26946,板楼/塔板结合,2320户,10栋,商品房/使用权/私产/拆迁安置房,2014-2016年 ,3.2至50元/平米/月,华润置地（成都）物业服务有限公司,成都锦兴华润置地有限公司
比华利国际城二期,锦江川师,佳宏北路36号,23718,塔楼/塔板结合,1510户,9栋,商品房/拆迁安置房,2005-2012年 ,1.6元/平米/月,四川佳宏物业管理有限公司,成都佳宏房地产开发有限公司
邮电职业技术学院宿舍,锦江川师,静康路536号,15507,板楼,373户,9栋,商品房/已购公房/校产/拆迁安置房,1989-2004年 ,暂无信息,业主自筹物业,无开发商
华润幸福里一期,锦江川师,菱安路299号,29678,板楼/塔板结合,938户,11栋,商品房,2000-2014年 ,3.2至10元/平米/月,成都华润置地物业管理有限公司,成都锦兴华润置地有限公司
校园广场,锦江川师,校园广场,0,板楼,297户,1栋,商品房,2000-2002年 ,1.5元/平米/月,成都市锦城物业管理有限公司,北京泰禾锦城置业有限公司
明珠园二期,锦江川师,菱窠路31号,18461,塔楼/板楼,152户,4栋,商品房,2004年 ,0.5元/平米/月,私人承办物业,无开发商
川师附中家属区,锦江川师,锦江区劼人路318号,13889,板楼,48户,2栋,商品房,暂无信息 ,暂无信息,业主自管,暂无信息
香樟苑,锦江川师,静安路5号,13246,板楼/平房,35户,4栋,商品房/已购公房/校产,1990-2000年 ,0.1元/平米/月,小区物业,四川高达房产
万科金色城市,龙泉驿大面,"东三环（地铁2号线成都行政学院站斜对面）, 翠柳街166号",17806,塔板结合,1909户,9栋,商品房,2015-2017年 ,2.5至3元/平米/月,成都万科物业有限公司,成都万科龙锦置业有限公司
银河花园,龙泉驿大面,大面街道银河路188号,10239,板楼,844户,17栋,商品房,2006年 ,0.6至0.8元/平米/月,成都市银河物业发展有限公司,四川省银河投资集团有限公司
龙华二期C区,龙泉驿大面,荷华东路60号,9485,塔楼,2420户,8栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,1.2元/平米/月,业主自筹物业,无开发商
龙华二期A区,龙泉驿大面,经开区南二路3611号,9439,板楼,3132户,7栋,商品房/拆迁安置房/新居工程房,2010-2019年 ,1.2元/平米/月,业主自筹物业,无开发商
东方怡景,龙泉驿大面,金地路121号,9264,塔楼/板楼/塔板结合/平房,294户,8栋,商品房,2001-2015年 ,0.5至0.6元/平米/月,成都东方希望物业服务有限公司,东方海外
洪柳花园二期,龙泉驿大面,琼花街510号,10675,塔楼,324户,2栋,商品房,2010-2019年 ,暂无信息,暂无信息,暂无信息
金色海岸,龙泉驿大面,金地路189号,11181,塔板结合,177户,2栋,商品房,2007-2015年 ,1.2元/平米/月,成都万科物业服务有限公司,万科
洪柳花园一期,龙泉驿大面,"柳树南街77号,洪河镇柳树南街93号",9244,塔楼,282户,9栋,商品房/拆迁安置房,2005-2015年 ,0.6元/平米/月,暂无信息,成都市龙泉驿区国有资产投资有限公司
