名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
融景城融御,江北北滨路,北城路151号,20599,塔楼/板楼,204户,3栋,商品房,2008-2016年 ,3元/平米/月,北京金融街第一太平戴维斯物业管理有限公司重庆分公司,金融街重庆融拓置业有限公司
龙湖春森彼岸四期,江北北滨路,江北北滨路陈家馆A宗E宗（春森彼岸公交站旁）,21145,塔楼/板楼,768户,3栋,商品房,2018-2019年 ,2.8元/平米/月,暂无信息,重庆北龙湖置地发展有限公司
鎏嘉码头公寓,江北北滨路,北滨路鎏嘉码头,0,塔楼,1018户,3栋,商品房,2013-2016年 ,6元/平米/月,重庆市珠江实业有限公司,重庆珠江实业有限公司
雨花村,江北北滨路,建新东路,10512,板楼/塔板结合/平房,1401户,35栋,商品房/房改房/经济适用房/集资房,1995-2008年 ,1元/平米/月,暂无信息, 陕西亿润经贸有限公司 
华丽家族小区,江北北滨路,金源路11号，13号，15号,9426,塔板结合,696户,3栋,商品房,2006年 ,1至1.3元/平米/月,金源时代购物广场有限公司,上海华丽家族（集团）有限公司
招商江湾城,江北北滨路,北滨一路363号,17767,塔楼/板楼,2907户,16栋,商品房/使用权/私产,2009-2014年 ,2.2至2.8元/平米/月,招商局物业管理有限公司重庆分公司,招商局地产（重庆）有限公司
珠江国际,江北北滨路,"北城二路78号, 北城二路52号",16805,塔楼/塔板结合,1720户,7栋,商品房/私产,2011-2014年 ,2.2元/平米/月,重庆珠江物业管理有限公司,重庆珠江实业有限公司
适中后村,江北北滨路,观音桥三钢二路,11611,塔楼/板楼,725户,32栋,商品房/房改房/经济适用房/使用权/集资房,1982-2001年 ,暂无信息,暂无信息,无
北国风光,江北北滨路,建新西路399号,11697,塔楼/板楼/塔板结合/平房,3858户,19栋,商品房/私产,2008-2015年 ,1.2至2.5元/平米/月,重庆华宇物业服务有限公司,重庆华宇物业（集团）有限公司
凯文阳光,江北北滨路,金源路64号,13425,塔楼,360户,1栋,商品房,2008-2021年 ,1.5元/平米/月,暂无信息,重庆鼎升房地产开发有限公司
国美江天御府,江北北滨路,北滨一路399号,23120,塔楼/板楼/塔板结合,848户,41栋,商品房,2012-2020年 ,3.4至3.5元/平米/月,北京万盛源物业管理有限责任公司重庆分公司,重庆中房房地产开发有限公司
钢锋村,江北北滨路,建新东路钢锋村,11220,板楼,573户,16栋,商品房/房改房/经济适用房/集资房,1986-2003年 ,1.2元/平米/月,无,无
龙湖春森彼岸,江北北滨路,春森彼岸小区1号/3号,20681,塔楼/板楼/塔板结合,3442户,23栋,商品房/使用权/私产,2008-2015年 ,2.5至2.8元/平米/月,暂无信息,重庆龙湖地产发展有限公司
金科金砂水岸,江北北滨路,红砂碛27号,13639,塔楼,1276户,11栋,商品房/使用权/私产,2004-2006年 ,1.3至5元/平米/月,重庆金科物业服务有限公司,重庆金科房地产开发有限公司
恒大御龙天峰,江北北滨路,北滨一路288号,19044,塔楼/板楼/塔板结合,7855户,34栋,商品房/使用权/私产,2000-2023年 ,3至8元/平米/月,重庆恒大金碧商业管理有限公司,重庆尖置房地产有限公司
锦绣北滨,江北北滨路,金源路62号,11440,塔楼,752户,4栋,商品房/经济适用房,2008-2010年 ,1.2元/平米/月,重庆润霖物业管理有限公司,重庆鼎升房地产开发有限公司
鎏嘉码头雲頂公寓,江北北滨路,北滨一路鎏嘉码头雲嵿公寓,0,塔楼,577户,1栋,商品房,2009-2019年 ,6元/平米/月,重庆市珠江实业有限公司,重庆珠江实业有限公司
沉香苑,江北北滨路,建新西路405号,9937,塔楼,776户,2栋,商品房/拆迁还建房,2009-2016年 ,1至1.9元/平米/月,重庆市永恒物业管理有限公司, 重庆桥达茂宸房地产开发有限公司
金融街新融御,江北北滨路,北滨路金融街新融御,25341,塔楼,230户,3栋,商品房,2017-2021年 ,3元/平米/月,北京金融街第一太平戴维斯物业管理有限公司重庆分公司,金融街重庆融拓置业有限公司
天园,江北北滨路,建新西路387号,11275,塔楼,247户,1栋,商品房/拆迁还建房,2008-2014年 ,1元/平米/月,重庆聚城物业有限公司,暂无信息
北岸江山西区,江北北滨路,建新西路393附近,15768,塔楼/板楼/塔板结合,1890户,19栋,商品房,2012-2018年 ,2.5至2.56元/平米/月,重庆财信物业管理有限公司,暂无信息
财信北岸铂寓,江北北滨路,北滨一路456号,0,塔楼,1057户,1栋,商品房,2018-2020年 ,3元/平米/月,重庆财信物业管理有限公司,江苏中财信投资有限公司
钢锋后村,江北北滨路,钢锋后村229号,13894,塔板结合,85户,1栋,商品房/房改房/经济适用房,1995年 ,暂无信息,暂无信息,暂无信息
