名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
梅峰礼居,鼓楼区大儒世家,梅峰路222号,28861,板楼/平房,510户,8栋,商品房,暂无信息,1.8至2.1元/平米/月,昆明华信物业管理有限公司,福州泛亚房地产有限公司
依山苑,鼓楼区大儒世家,梁厝路95号,21863,板楼,159户,2栋,商品房,暂无信息,0.7元/平米/月,福建仁信物业管理有限公司,无开发公司
大儒世家朗园,鼓楼区大儒世家,梅竹路7号,24087,塔楼/板楼,2080户,14栋,商品房,暂无信息,1.2至1.5元/平米/月,福建仁文物业管理有限公司,金帝集团（厦门）房地产开发有限公司
梁厝新村,鼓楼区大儒世家,梁厝路65号,17944,板楼,446户,8栋,商品房/动迁安置房,暂无信息,0.3元/平米/月,福建仁信物业管理有限公司,福建金帝房地产开发有限公司
司法厅宿舍(大儒世家),鼓楼区大儒世家,梅峰路128号,23702,板楼,113户,3栋,商品房,暂无信息,0.5元/平米/月,暂无信息,沈阳资特置业顾问有限公司法库分公司
保福公寓,鼓楼区大儒世家,洪山镇梅峰路180号,19003,板楼/平房,481户,9栋,商品房,暂无信息,0.3至0.6元/平米/月,保福物业,运盛（福建）地产有限公司
大儒世家藏珑,鼓楼区大儒世家,梅兰路12号,24911,塔楼/板楼/塔板结合,1048户,13栋,商品房,暂无信息,1.2至1.5元/平米/月,福建金帝物业有限公司,金帝集团（厦门）房地产开发有限公司
归壹墅绿园,鼓楼区大儒世家,梅亭路50号,32082,塔楼/平房,480户,23栋,商品房,暂无信息,1.5至2.5元/平米/月,福建仁文物业管理有限公司,福建仁文建设有限公司
大儒世家公馆,鼓楼区大儒世家,梅峰西路1号,23514,板楼,228户,1栋,商品房,暂无信息,1.5元/平米/月,福建金帝物业有限公司,金帝集团（厦门）房地产开发有限公司
翰邻雅筑,鼓楼区大儒世家,国光路16号,20720,板楼,87户,2栋,商品房,暂无信息,0.5元/平米/月,福州东聚物业管理有限公司,福州东成房地产有限公司
百督府,鼓楼区大儒世家,保福路百督府,132487,板楼,11户,10栋,商品房,暂无信息,暂无信息,暂无信息,暂无信息
金帝天澜,鼓楼区大儒世家,国光路60号,26277,板楼/塔板结合,1105户,8栋,商品房,暂无信息,1.5至2.5元/平米/月,福建金帝物业有限公司,福建仁文建设有限公司
鼓楼庭院,鼓楼区大儒世家,原厝路136号,19411,板楼,808户,27栋,商品房/私产,暂无信息,0.8元/平米/月,北京冠城酒店物业管理有限公司福州分公司,福建华事达房地产有限公司
大儒世家花园,鼓楼区大儒世家,原厝路62号,20045,板楼/平房,835户,16栋,商品房,暂无信息,0.4至0.7元/平米/月,益安物业,福建仁文建设有限公司
美之国花园,鼓楼区大儒世家,梅峰路166号,41941,板楼/平房,689户,74栋,商品房,暂无信息,1.5至2元/平米/月,暂无信息,三盛集团有限公司
大儒世家观岚,鼓楼区大儒世家,梅兰路9号,23424,板楼/平房,637户,17栋,商品房,暂无信息,1至1.5元/平米/月,福建金帝物业有限公司,金帝集团（厦门）房地产开发有限公司
大儒世家卧琥,鼓楼区大儒世家,梅亭路136号,23318,板楼/平房,1178户,15栋,商品房,暂无信息,1.2元/平米/月,金帝仁文物业,金帝集团（厦门）房地产开发有限公司
瑞达花园,鼓楼区大儒世家,梅峰路303号,0,板楼,160户,4栋,商品房,暂无信息,0.8至1.2元/平米/月,金帝仁文物业,部队开发
金海园,鼓楼区大儒世家,梅峰路138号,21063,板楼,38户,3栋,商品房,暂无信息,1.5元/平米/月,福建永安物业管理有限公司,暂无信息
中科睿谷,闽侯县大儒世家,洪甘路中科睿谷,0,塔板结合,660户,1栋,商品房/使用权,暂无信息,2.5元/平米/月,陕西艾邦,中科建工集团有限公司
金帝江语城,鼓楼区大儒世家,国光路86号,0,塔板结合,494户,4栋,商品房,暂无信息,2.5元/平米/月,福建金帝物业有限公司,福建仁文建设有限公司
防汛物资单位宿舍,鼓楼区大儒世家,洪甘路101号,19076,板楼,40户,1栋,商品房,暂无信息,0.3元/平米/月,无物业管理服务,福建京都置业有限公司
肃威花园,鼓楼区东街口,肃威路250号,25400,板楼,293户,4栋,商品房,暂无信息,0.5元/平米/月,单位自管物业,华丰房地产
双抛桥一里小区,鼓楼区东街口,达明路17号,24618,板楼,581户,9栋,商品房/动迁安置房,暂无信息,0.4至1元/平米/月,小区自建,当地拆迁办
东大商场,鼓楼区东街口,东大路160-5号,21047,板楼,170户,2栋,商品房,暂无信息,0.5元/平米/月,暂无信息,暂无信息
联湖花园,鼓楼区东街口,元帅路,27173,板楼,224户,3栋,商品房,暂无信息,0.5元/平米/月,福州金辉物业有限公司,北京福州房地产开发有限公司
置福大厦,鼓楼区东街口,五一北路34号,34384,塔楼,350户,1栋,商品房,暂无信息,1.5元/平米/月,暂无信息,福建置福房地产有限公司
互爱巷15号,鼓楼区东街口,互爱巷15号,26459,板楼,119户,2栋,商品房,暂无信息,0.5元/平米/月,社区内聘,暂无信息
航空大厦,鼓楼区东街口,东街123号,18963,塔板结合,106户,1栋,商品房,暂无信息,1.5元/平米/月,暂无信息,暂无信息
金禧名门,鼓楼区东街口,东大路1号,39106,塔楼,652户,1栋,商品房,暂无信息,1.8元/平米/月,暂无信息,福建翠鸿房地产有限公司
咨询公司宿舍,鼓楼区东街口,虎节路13号,21426,板楼,42户,1栋,商品房,暂无信息,0.4元/平米/月,暂无信息,福建京华地产发展有限公司
