名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
岑村路334号宿舍,天河岑村,岑村路,34254,塔楼,120户,4栋,商品房/房改房,1994-1999年 ,0.5至1元/平米/月,单位代管物业,公安宿舍房改房
东晋丽苑,天河岑村,"华观路东晋丽苑,育新街91号",34657,塔楼/板楼,145户,4栋,商品房/房改房/经济适用房/私产,1995-2003年 ,1.5元/平米/月,单位代管物业,无开发商
海景慧源山庄,天河岑村,岑村路火炉山南侧,0,塔楼,846户,13栋,商品房,2021年 ,3.5元/平米/月,暂无信息,广州慧源置业有限公司
珠江嘉苑,天河岑村,沐陂西街18大院,36603,塔楼/板楼,1792户,12栋,商品房/经济适用房,2014-2017年 ,1.2至2.8元/平米/月,暂无信息,暂无信息
华南御景园,天河岑村,五山路华南御景园,50686,塔楼/板楼/平房,2065户,60栋,商品房/使用权/私产,2002-2011年 ,0.8至7.3元/平米/月,广州高力国际物业服务有限公司,广州龙昌房地产开发有限公司
乐意居花园,天河长兴,长兴路美景街18号,38025,塔楼/板楼/平房,3162户,91栋,商品房/房改房/使用权/私产,1990-2012年 ,0.75元/平米/月,广州协欣物业管理有限公司,广州城建开发宏城连锁超级市场有限公司
建丽花园,天河长兴,长兴路342号,43878,塔楼,640户,16栋,商品房,2000-2005年 ,1元/平米/月,至诚物业管理有限公司,广州市亦飞房地产发展有限公司
东荣文华轩,天河长兴,长兴路,52444,塔楼,336户,3栋,商品房,2009-2012年 ,1.2至2.3元/平米/月,广州市睦邻物业管理有限公司,广东东荣正明投资有限公司
中城苑,天河长兴,长兴路,46409,塔楼/板楼,134户,4栋,商品房,1999-2000年 ,1元/平米/月,广州市璟丽物业管理有限公司,无开发商
生态环境与土壤研究所,天河长兴,天源路生态环境与土壤研究所,39284,塔楼/板楼,67户,8栋,商品房/房改房,1985-2000年 ,暂无信息,单位代管物业,无开发商
中科院化学所,天河长兴,兴科路中科院化学所,36312,板楼,455户,25栋,商品房/房改房,1989-1998年 ,1元/平米/月,单位代管物业,无开发商
有色金属研究院东生活区,天河长兴,"长兴路有色金属研究院, 长兴路363号大院",39468,塔楼/板楼,550户,21栋,商品房/房改房,1980-2002年 ,0.8至1元/平米/月,单位代管物业,无开发商
有色金属研究院西生活区,天河长兴,长兴路363号大院,38381,塔楼/板楼,235户,13栋,商品房/房改房,1980-2000年 ,0.8至0.9元/平米/月,单位代管物业, 陕西亿润经贸有限公司 
广东省科学职业技术学院,天河长兴,天源路818号,36360,板楼,68户,3栋,商品房/房改房,1994-1999年 ,暂无信息,校园单位管理,碧桂园
老干中心大院,天河长兴,长兴路291号,36190,塔楼,144户,2栋,商品房/房改房,2002年 ,1至1.5元/平米/月,单位代管物业,广州南方钢厂
源泉广场,天河长兴,天源路130-144号,29026,塔楼/板楼,308户,8栋,商品房/经济适用房,1994-1999年 ,1元/平米/月,无物业管理服务,暂无信息
中科院华南植物研究所,天河长兴,兴科路723号,33144,塔楼/板楼,497户,30栋,商品房/房改房,1985-2002年 ,暂无信息,广州市保利物业管理有限公司,博罗县泓华实业有限公司
伟伦体校宿舍,天河长兴,长兴路332-336号,38701,平房,95户,1栋,商品房/房改房,1999-2008年 ,暂无信息,暂无信息, 陕西亿润经贸有限公司 
华南国家植物园 ,天河长兴,天源路1190号,51622,塔楼/板楼,95户,6栋,商品房/房改房,1993-2000年 ,0.8元/平米/月,广州市保利物业管理有限公司,无开发商
萌芽宿舍,天河长兴,天源路806号,31895,板楼,55户,1栋,商品房,1990-2001年 ,1元/平米/月,保利物业公司, 重庆汇东房地产开发有限公司
天鹅花苑,天河长兴,长兴路129号,37598,塔楼/板楼/塔板结合,1614户,32栋,商品房/房改房/使用权,1993-2003年 ,0.57至1.25元/平米/月,白天鹅物业管理有限公司,广州白天鹅房地产开发有限公司
翰林苑(天河),天河长兴,长兴路299号,50827,塔楼,1317户,14栋,商品房/使用权/私产,1997-2014年 ,1.8元/平米/月,广州市睦邻物业管理有限公司,广东东荣正明投资有限公司
长兴小区,天河长兴,长兴路,45538,塔楼,260户,7栋,商品房/房改房,1990-2005年 ,1至1.1元/平米/月,广州市璟丽物业管理有限公司, 陕西亿润经贸有限公司 
天源路,天河长兴,天源路,0,塔楼,40户,2栋,商品房/使用权/乡产,暂无信息 ,暂无信息,暂无信息,暂无信息
三宝墟教职工新村,天河长兴,天源路三宝墟教职工新村,0,板楼,942户,11栋,商品房/房改房/动迁安置房/集资房,1998-2003年 ,0.69至1元/平米/月,广东诚正物业服务有限公司,广州城建集团
长兴大厦,天河长兴,"长湴东路75-1号, 长湴东路75-2号",0,板楼,50户,1栋,商品房,1995-2009年 ,0.75元/平米/月,暂无信息,碧桂园
爱立方公寓,天河长兴,长兴路68号,0,塔楼,510户,1栋,商品房,1990年 ,1元/平米/月,无物业管理服务, 合肥万科瑞翔地产有限公司
华丽楼,天河车陂,车陂北街28号,34575,塔楼,112户,2栋,商品房,1994-1995年 ,0.5元/平米/月,广东长城建设集团物业管理有限公司,无开发商
惠苑楼,天河车陂,车陂北街16号,34047,塔楼,217户,3栋,商品房,1995-2001年 ,0.6至0.8元/平米/月,广东长城建设集团物业管理有限公司,广州市东江地产有限公司
时尚明苑,天河车陂,中山大道中77号,58907,塔楼/板楼/平房,663户,7栋,商品房/使用权,2006年 ,1.5至2.6元/平米/月,广州福华物业管理有限公司,广州新江山股份有限公司
逸安阁,天河车陂,中山大道中路231号,46644,塔楼,142户,2栋,商品房/使用权,1999年 ,1元/平米/月,讯力物业服务有限公司,广州市东安房地产开发有限公司
翠拥华庭锋尚,天河车陂,车陂路翠拥华庭锋尚,45181,塔楼,378户,2栋,商品房,2008-2009年 ,3元/平米/月,深圳市翠拥华庭物业管理有限公司,广州市京武房地产开发有限公司
