名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
翡翠国际,工业园区白塘,现代大道紧临白塘植物园,43449,板楼/塔板结合,805户,12栋,商品房/已购公房,暂无信息 ,1至2.3元/平米/月,苏州市优尼科物业管理有限公司,翡翠国际社区置业有限公司
紫荆苑,工业园区白塘,沈浒路371号,40418,板楼,491户,6栋,商品房/使用权,暂无信息 ,2.67元/平米/月,暂无信息,苏州九苑房地产发展有限公司
白塘景苑,工业园区白塘,白塘路55号,41508,板楼/塔板结合,2358户,24栋,商品房/使用权/私产,暂无信息 ,1.67至2.35元/平米/月,大和宝业(无锡)物业管理有限公司苏州分公司,星隆置业（苏州）有限公司
白塘景苑一二期,工业园区白塘,白塘路1号,40280,板楼/塔板结合,1995户,39栋,商品房/使用权/私产,暂无信息 ,2.3至2.93元/平米/月,大和宝业(无锡)物业管理有限公司,星隆置业（苏州）有限公司
绿地华尔道,工业园区白塘,"九华路和南施街交汇处, 九华路12号、九华路18号、九华路19号",62048,板楼,1621户,51栋,商品房/使用权,暂无信息 ,1.75至2.4元/平米/月,碧桂园物业发展有限公司,苏州翡翠国际社区置业有限公司
中央景城,工业园区白塘,九华路88号,46134,板楼/塔板结合,3107户,35栋,商品房/使用权/私产,暂无信息 ,2.2至2.3元/平米/月,苏州工业园区建屋物业发展有限公司,苏州工业园区建屋发展有限公司
星堤坊,工业园区白塘,白塘路33号,0,板楼,2户,1栋,商品房,暂无信息 ,暂无信息,暂无信息,星隆置业（苏州）有限公司
星虹国际,工业园区白塘,苏虹中路225号,0,板楼,418户,1栋,商品房/使用权,暂无信息 ,12元/平米/月,中新苏州和乔物业服务有限公司,中新苏州工业园区置地有限公司
白塘景苑三期,工业园区白塘,斜塘街道白塘路55号白塘景苑,0,板楼/塔板结合,96户,7栋,商品房,暂无信息 ,2.3元/平米/月,江苏苏南万科物业公司,暂无信息
淞泽家园（三区）,工业园区车坊,普惠路689号,20186,板楼,2030户,86栋,商品房/动迁安置房,暂无信息 ,1.4至1.5元/平米/月,淞泽小区物业,苏州工业园区娄葑建发房地产有限公司
淞泽家园（八区）,工业园区车坊,普惠路靠近星湖街北侧,18110,塔板结合,3205户,52栋,商品房/动迁安置房,暂无信息 ,1.4至2.2元/平米/月,苏州工业园区斜塘市政物业管理有限公司,苏州工业园区娄葑建发房地产有限公司
淞泽家园（九区）,工业园区车坊,惠成街与车郭路交叉口南50米,20687,塔板结合,2385户,97栋,商品房/动迁安置房,暂无信息 ,1.4至2.2元/平米/月,淞泽家园小区物业,苏州工业园区娄葑建发房地产有限公司
淞泽家园（五区）,工业园区车坊,金园路靠近润泽街,20958,板楼,1030户,49栋,商品房/动迁安置房,暂无信息 ,1.4元/平米/月,淞泽家园小区物业,苏州工业园区娄葑建发房地产有限公司
南澳花园,工业园区车坊,普惠路63号,21231,板楼,211户,8栋,商品房,暂无信息 ,1.8元/平米/月,苏州市福鑫商品房开发有限公司,苏州市福鑫商品房开发有限公司
淞泽家园（四区）,工业园区车坊,普惠路与惠成街交汇处,18598,板楼,1328户,46栋,商品房/动迁安置房,暂无信息 ,1.4元/平米/月,淞泽家园小区物业,苏州工业园区娄葑建发房地产有限公司
淞泽家园（一区）,工业园区车坊,惠普路和惠成街交汇处,21514,塔板结合,1512户,62栋,商品房/动迁安置房,暂无信息 ,1.4至1.5元/平米/月,苏州工业园区斜塘镇物业管理公司,苏州工业园区娄葑建发房地产有限公司
鸿海花苑,工业园区车坊,高垫路90号,18553,板楼,176户,8栋,商品房,暂无信息 ,0.6元/平米/月,苏州工业园区海竞置业有限公司,苏州工业园区海竞置业有限公司
淞泽家园（二区）,工业园区车坊,普惠路靠近松涛街,19917,板楼,1872户,72栋,商品房/动迁安置房,暂无信息 ,1.4至1.5元/平米/月,苏州工业园区斜塘市政物业管理有限公司,苏州工业园区娄葑建发房地产有限公司
中锐星奕湾,工业园区车坊,松涛街18号,32821,板楼,344户,9栋,商品房,暂无信息 ,2.91至2.92元/平米/月,上海中锐物业有限公司,苏州中锐尚宏置业有限公司
淞泽家园（七区）,工业园区车坊,星湖街靠近普惠路,21399,板楼,1550户,68栋,商品房/动迁安置房,暂无信息 ,1.3至2.2元/平米/月,淞泽家园小区物业,苏州工业园区娄葑建发房地产有限公司
淞泽家园（六区）,工业园区车坊,普惠路（惠普路和惠成街交汇处）,18681,板楼,1042户,32栋,商品房/动迁安置房,暂无信息 ,1.4元/平米/月,淞泽家园小区物业,苏州工业园区娄葑建发房地产有限公司
鸿顺花苑,工业园区车坊,兴达路1号,19903,板楼,201户,12栋,商品房,暂无信息 ,0.3至1.1元/平米/月,苏州海风物业管理有限公司,苏州海竞信息科技集团有限公司
东方文荟苑四区,工业园区车坊,江苏省苏州市虎丘区斜塘街道娄葑镇朝前村,19583,板楼,657户,8栋,商品房/动迁安置房,暂无信息 ,暂无信息,暂无信息,暂无信息
东方文荟苑,工业园区车坊,普惠路东方文荟苑,18663,板楼,3208户,40栋,商品房/经济适用房/动迁安置房/保障性住房,暂无信息 ,1.4至1.69元/平米/月,暂无信息, 融创中国
中海 独墅云著,工业园区车坊,永庆路166号,0,未知类型,580户,13栋,商品房,暂无信息 ,3.7元/平米/月,暂无信息,暂无信息
东环路221号,工业园区东环,东环路221号,21809,板楼,235户,4栋,商品房,暂无信息 ,暂无信息,暂无信息,市政建设
新苏安新村,工业园区东环,"苏安路2号, 娄门路语东环路交界处向西200米路北",25293,板楼,616户,20栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州工业园区政府建筑
东环路222号,工业园区东环,东环路222号,20955,板楼,60户,1栋,商品房,暂无信息 ,暂无信息,业主自主物业,苏州工业园区娄葑建发房地产有限公司
金湖阁,工业园区东环,金鸡湖路1250号,26505,板楼,150户,6栋,商品房,暂无信息 ,0.4至0.6元/平米/月,苏州工业园区兴园房地产有限公司,苏州工业园区兴园房地产有限公司
风华苑,工业园区东环,"东环路658号, 东环路660号",21724,板楼/塔板结合,257户,3栋,商品房,暂无信息 ,1.3元/平米/月,苏州联发房地产物业公司,苏州联发房地产有限公司
东港怡乐花园,工业园区东环,东环路与现代大道交界处,38121,板楼,73户,12栋,商品房,暂无信息 ,1.2元/平米/月,苏州市佳顺物业有限公司,物业和度娘都不知道开发商名称
东淳苑,工业园区东环,东环路与娄花南街交叉口,27887,板楼,200户,7栋,商品房,暂无信息 ,0.6至1.3元/平米/月,苏州市佳顺物业有限公司,市政建设
夏家桥100号,工业园区东环,夏家桥100号,21303,板楼,103户,2栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市政
娄门下塘43-1号,工业园区东环,东环路1500号（东环路和现代大道路口）,21128,板楼,132户,3栋,商品房,暂无信息 ,0.6元/平米/月,东港社区,物业和度娘都不知道开发商名称
夏家桥129号,工业园区东环,夏家桥129号,24686,板楼,287户,4栋,商品房/动迁安置房,暂无信息 ,0.5至1.3元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市政
宜家公寓,工业园区东环,中新路115号,52964,板楼,235户,4栋,商品房,暂无信息 ,1.4元/平米/月,苏州工业园区兴园房地产有限公司,苏州工业园区兴园房地产有限公司
仁文公寓,工业园区东环,东环路930号,19646,板楼,580户,4栋,商品房,暂无信息 ,0.6至2.1元/平米/月,苏州佳友物业管理有限公司,苏州置业房地产开发有限公司
三星苑,工业园区东环,现代大道270号,25003,板楼,106户,3栋,商品房,暂无信息 ,1.5元/平米/月,扬州经典房地产开发有限公司,扬州经典房地产开发有限公司
夏家桥118号,工业园区东环,夏家桥118号,25359,板楼/塔板结合,662户,12栋,商品房/动迁安置房/保障性住房,暂无信息 ,1.8至2.4元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市政
商旅新悦城,工业园区东环,东环路1118号,30386,板楼,180户,2栋,商品房,暂无信息 ,2.52元/平米/月,建屋物业,苏州工业园区商业旅游发展有限公司
新苏苑一区,工业园区东环,宝带东路290号,24081,板楼,630户,9栋,商品房/动迁安置房,暂无信息 ,1.3元/平米/月,苏州新沧物业有限公司,苏州工业园区城市重建有限公司
娄门路散盘,工业园区东环,娄门路174号、娄门路198号、娄门路200号,25291,板楼,91户,4栋,商品房,暂无信息 ,0.4元/平米/月,苏州工业园区正基房地产发展有限公司,苏州工业园区政府建筑
东环路223号,工业园区东环,东环路223号,23654,板楼,60户,1栋,商品房,暂无信息 ,暂无信息,业主自主物业, 嘉兴世茂新世纪置业有限公司
徐家浜8号小区,工业园区东环,东环路1320号,22936,板楼,225户,9栋,商品房,暂无信息 ,0.5元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州房地产开发有限公司
富华苑,工业园区东环,机场路1号,22726,板楼,1243户,35栋,商品房,暂无信息 ,1至1.2元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州工业园区大统房地产开发有限公司
苏安新村,工业园区东环,苏安路2号,24818,板楼,6621户,181栋,商品房/动迁安置房/私产,暂无信息 ,0.4元/平米/月,暂无信息,苏州工业园区政府建筑
新馨花园,工业园区东环,"中新路5号, 苏州大道西261号",49808,板楼,1202户,47栋,商品房,暂无信息 ,0.7至1.85元/平米/月,建屋发展物业有限公司,苏州工业园区建屋发展有限公司
娄门路166号,工业园区东环,娄门路166号,22649,板楼/平房,268户,8栋,商品房,暂无信息 ,0.1至0.3元/平米/月,苏州工业园区房地产发展有限公司,物业和度娘都不知道开发商名称
徐家浜二村,工业园区东环,东环路与中新路交接处,22189,板楼,2541户,65栋,商品房/动迁安置房,暂无信息 ,0.3元/平米/月,苏州工业园区娄葑安洁物业管理有限公司,苏州市房地产开发总公司
新苏苑二区,工业园区东环,娄门路88号,23733,板楼,856户,15栋,商品房/动迁安置房,暂无信息 ,1.3至1.4元/平米/月,暂无信息,苏州工业园区城市重建有限公司
书香苑（园区）,工业园区东环,东环路1318号,20656,板楼,256户,8栋,商品房,暂无信息 ,1.3至1.31元/平米/月,苏州相城经济开发房地产有限公司,相城经济开发有限公司
韶山花园,工业园区东环,中新路55号,40404,板楼,448户,20栋,商品房,暂无信息 ,0.5元/平米/月,苏州申海物业服务有限公司,苏州工业园区长鑫房地产开发有限公司
