名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
泰宁小区,罗湖区百仕达,爱国路3013号,50023,板楼,444户,5栋,商品房,1993-2000年 ,1元/平米/月,深圳市新村物业管理有限公司,南京中泰宁田置业开发有限公司
文康楼,罗湖区百仕达,爱国路3049-1号,44736,塔板结合,153户,1栋,商品房,1996年 ,1元/平米/月,文康楼物业,郑州康文置业有限公司
东门北路2075号,罗湖区百仕达,东门北路2075号,47023,塔板结合,182户,8栋,商品房/集资房,1982-1984年 ,0.8元/平米/月,无物业管理服务,暂无信息
东晓路1022号大院,罗湖区百仕达,东晓路1022号,49737,板楼/塔板结合,72户,3栋,商品房/经济适用房,1985-1999年 ,0.8元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
罗湖区委宿舍,罗湖区百仕达,"翠竹路1082号, 翠竹路1084号",50488,板楼,56户,1栋,商品房,1991-2000年 ,3.3元/平米/月,暂无信息, 五指山水墨雨林置业有限公司
东湖医院住宅楼,罗湖区百仕达,布心路2019号,36450,塔板结合,92户,4栋,商品房,1983-1993年 ,0.8元/平米/月,深圳市粤海物业管理有限公司,东湖地产
太明居,罗湖区百仕达,太安路182号,47769,板楼,78户,1栋,商品房,1994-1997年 ,1.8元/平米/月,无物业管理服务,暂无资料
传麒东湖名苑,罗湖区百仕达,罗湖区布心路与爱国路交汇处,72073,塔楼/塔板结合,651户,2栋,商品房,2005-2019年 ,3.6至5.8元/平米/月,深圳市深房物业管理有限公司,深房集团开发有限公司
善水居,罗湖区百仕达,翠竹路1128号,68358,未知类型,4户,1栋,商品房,2018年 ,4.68元/平米/月,暂无信息,暂无信息
翠拥华庭二期,罗湖区百仕达,翠竹路翠拥华庭二期,66235,塔板结合,377户,2栋,商品房,2004年 ,4.2元/平米/月,暂无信息,暂无信息
万事达名苑二期,罗湖区百仕达,太宁路万事达名苑二期,56499,塔楼,464户,1栋,商品房,2000年 ,3.8元/平米/月,暂无信息,暂无信息
逸翠园二期,罗湖区百仕达,翠竹路逸翠园二期,61155,塔板结合,434户,3栋,商品房,2000-2003年 ,3至3.01元/平米/月,暂无信息,暂无信息
29号大院西区,罗湖区百仕达,29号大院西区,55292,板楼,53户,2栋,商品房/使用权,1984年 ,0.92元/平米/月,暂无信息,暂无信息
环卫小区,罗湖区百仕达,罗湖翠竹路1112号,50928,塔楼/板楼,122户,4栋,商品房,1994年 ,0.8至1.5元/平米/月,暂无信息,暂无信息
旭飞华达园,罗湖区百仕达,翠竹路2058号,52510,塔楼,2202户,5栋,商品房,2000-2008年 ,3.2元/平米/月,深圳市志诚物业管理有限公司,深圳市光彩红房地产开发有限公司
新港鸿花园,罗湖区百仕达,翠竹北路2038号,57949,塔板结合,1336户,28栋,商品房/使用权/私产,1997-2016年 ,3.23至3.3元/平米/月,深圳市怡盛华物业发展有限公司,深圳市新港鸿房地产开发有限公司
华达园公寓,罗湖区百仕达,布心路2083号,42896,塔板结合,960户,1栋,商品房,2002-2005年 ,3.2元/平米/月,深圳市志诚物业管理有限公司,深圳市光彩红房地产开发有限公司
粤海新村,罗湖区百仕达,太安路78号,50170,板楼/塔板结合,299户,7栋,商品房,1988-2000年 ,1.1元/平米/月,深圳市粤海物业管理有限公司,粤海集团（深圳）有限公司
水贝供电局住宅小区,罗湖区百仕达,翠竹路2018号,46437,塔板结合,473户,12栋,商品房,1987-2002年 ,1.5至1.51元/平米/月,无物业管理服务,暂无资料
百仕达花园二期,罗湖区百仕达,太安路98号,61459,塔楼,1047户,19栋,商品房,1969-2005年 ,3.8至4.2元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
万事达名苑一期,罗湖区百仕达,太宁路185号,54934,塔楼/板楼/塔板结合,218户,4栋,商品房,1998-1999年 ,3.8元/平米/月,深圳市佳宏物业管理有限公司,深圳市星通房地产开发有限公司
鸿园居,罗湖区百仕达,布心路2037号,56985,塔板结合,376户,3栋,商品房,2000年 ,3.6元/平米/月,深圳市鸿威物业管理有限公司,深圳市鸿威房地产开发有限公司
东安花园,罗湖区百仕达,太安路167号,46849,塔板结合,448户,8栋,商品房,1982-1993年 ,0.8元/平米/月,深圳市大地通物业管理有限公司,深圳市石化房地产有限公司
宝龙苑,罗湖区百仕达,太安路133号,50392,板楼/塔板结合,292户,5栋,商品房,1991-1998年 ,0.8至2.8元/平米/月,深圳市深龙鑫物业管理有限公司,深圳市深宝房地产开发公司
东乐花园,罗湖区百仕达,布心路1023号,45765,塔板结合,3333户,127栋,商品房,1988-2005年 ,0.68元/平米/月,中海物业管理有限公司,深圳市深房集团龙岗开发有限公司
百仕达东郡,罗湖区百仕达,太宁路38号,76391,板楼/塔板结合,1367户,11栋,商品房,1997-2006年 ,4.2元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
百仕达乐湖,罗湖区百仕达,太宁路8号,70137,塔楼,940户,4栋,商品房,1993-2008年 ,4.2元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
叠翠居,罗湖区百仕达,水库新村193号,54121,塔楼/板楼,154户,6栋,商品房,2001年 ,2.5元/平米/月,深圳市新村物业管理有限公司,深圳市润裕地产开发有限公司
阳光绿地家园,罗湖区百仕达,爱国路3009号,64368,塔板结合,839户,3栋,商品房,1999-2007年 ,3.2元/平米/月,深圳市阳基物业管理有限公司,深圳市阳基房地产开发有限公司
新丰大厦,罗湖区百仕达,爱国路3019号,42600,塔板结合,404户,3栋,商品房,2000-2003年 ,2.8元/平米/月,深圳市威良物业有限公司,深圳市威良投资发展有限公司
泰宁小区,罗湖区百仕达,爱国路3013号,50023,板楼,444户,5栋,商品房,1993-2000年 ,1元/平米/月,深圳市新村物业管理有限公司,南京中泰宁田置业开发有限公司
文康楼,罗湖区百仕达,爱国路3049-1号,44736,塔板结合,153户,1栋,商品房,1996年 ,1元/平米/月,文康楼物业,郑州康文置业有限公司
东门北路2075号,罗湖区百仕达,东门北路2075号,47023,塔板结合,182户,8栋,商品房/集资房,1982-1984年 ,0.8元/平米/月,无物业管理服务,暂无信息
东晓路1022号大院,罗湖区百仕达,东晓路1022号,49737,板楼/塔板结合,72户,3栋,商品房/经济适用房,1985-1999年 ,0.8元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
罗湖区委宿舍,罗湖区百仕达,"翠竹路1082号, 翠竹路1084号",50488,板楼,56户,1栋,商品房,1991-2000年 ,3.3元/平米/月,暂无信息, 五指山水墨雨林置业有限公司
东湖医院住宅楼,罗湖区百仕达,布心路2019号,36450,塔板结合,92户,4栋,商品房,1983-1993年 ,0.8元/平米/月,深圳市粤海物业管理有限公司,东湖地产
太明居,罗湖区百仕达,太安路182号,47769,板楼,78户,1栋,商品房,1994-1997年 ,1.8元/平米/月,无物业管理服务,暂无资料
传麒东湖名苑,罗湖区百仕达,罗湖区布心路与爱国路交汇处,72073,塔楼/塔板结合,651户,2栋,商品房,2005-2019年 ,3.6至5.8元/平米/月,深圳市深房物业管理有限公司,深房集团开发有限公司
善水居,罗湖区百仕达,翠竹路1128号,68358,未知类型,4户,1栋,商品房,2018年 ,4.68元/平米/月,暂无信息,暂无信息
翠拥华庭二期,罗湖区百仕达,翠竹路翠拥华庭二期,66235,塔板结合,377户,2栋,商品房,2004年 ,4.2元/平米/月,暂无信息,暂无信息
万事达名苑二期,罗湖区百仕达,太宁路万事达名苑二期,56499,塔楼,464户,1栋,商品房,2000年 ,3.8元/平米/月,暂无信息,暂无信息
逸翠园二期,罗湖区百仕达,翠竹路逸翠园二期,61155,塔板结合,434户,3栋,商品房,2000-2003年 ,3至3.01元/平米/月,暂无信息,暂无信息
29号大院西区,罗湖区百仕达,29号大院西区,55292,板楼,53户,2栋,商品房/使用权,1984年 ,0.92元/平米/月,暂无信息,暂无信息
环卫小区,罗湖区百仕达,罗湖翠竹路1112号,50928,塔楼/板楼,122户,4栋,商品房,1994年 ,0.8至1.5元/平米/月,暂无信息,暂无信息
旭飞华达园,罗湖区百仕达,翠竹路2058号,52510,塔楼,2202户,5栋,商品房,2000-2008年 ,3.2元/平米/月,深圳市志诚物业管理有限公司,深圳市光彩红房地产开发有限公司
新港鸿花园,罗湖区百仕达,翠竹北路2038号,57949,塔板结合,1336户,28栋,商品房/使用权/私产,1997-2016年 ,3.23至3.3元/平米/月,深圳市怡盛华物业发展有限公司,深圳市新港鸿房地产开发有限公司
华达园公寓,罗湖区百仕达,布心路2083号,42896,塔板结合,960户,1栋,商品房,2002-2005年 ,3.2元/平米/月,深圳市志诚物业管理有限公司,深圳市光彩红房地产开发有限公司
粤海新村,罗湖区百仕达,太安路78号,50170,板楼/塔板结合,299户,7栋,商品房,1988-2000年 ,1.1元/平米/月,深圳市粤海物业管理有限公司,粤海集团（深圳）有限公司
水贝供电局住宅小区,罗湖区百仕达,翠竹路2018号,46437,塔板结合,473户,12栋,商品房,1987-2002年 ,1.5至1.51元/平米/月,无物业管理服务,暂无资料
百仕达花园二期,罗湖区百仕达,太安路98号,61829,塔楼,1047户,19栋,商品房,1969-2005年 ,3.8至4.2元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
万事达名苑一期,罗湖区百仕达,太宁路185号,54934,塔楼/板楼/塔板结合,218户,4栋,商品房,1998-1999年 ,3.8元/平米/月,深圳市佳宏物业管理有限公司,深圳市星通房地产开发有限公司
鸿园居,罗湖区百仕达,布心路2037号,56985,塔板结合,376户,3栋,商品房,2000年 ,3.6元/平米/月,深圳市鸿威物业管理有限公司,深圳市鸿威房地产开发有限公司
东安花园,罗湖区百仕达,太安路167号,46849,塔板结合,448户,8栋,商品房,1982-1993年 ,0.8元/平米/月,深圳市大地通物业管理有限公司,深圳市石化房地产有限公司
宝龙苑,罗湖区百仕达,太安路133号,50392,板楼/塔板结合,292户,5栋,商品房,1991-1998年 ,0.8至2.8元/平米/月,深圳市深龙鑫物业管理有限公司,深圳市深宝房地产开发公司
东乐花园,罗湖区百仕达,布心路1023号,45765,塔板结合,3333户,127栋,商品房,1988-2005年 ,0.68元/平米/月,中海物业管理有限公司,深圳市深房集团龙岗开发有限公司
百仕达东郡,罗湖区百仕达,太宁路38号,76391,板楼/塔板结合,1367户,11栋,商品房,1997-2006年 ,4.2元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
百仕达乐湖,罗湖区百仕达,太宁路8号,70137,塔楼,940户,4栋,商品房,1993-2008年 ,4.2元/平米/月,深圳百仕达物业管理有限公司,深圳市百仕达实业有限公司
叠翠居,罗湖区百仕达,水库新村193号,54121,塔楼/板楼,154户,6栋,商品房,2001年 ,2.5元/平米/月,深圳市新村物业管理有限公司,深圳市润裕地产开发有限公司
阳光绿地家园,罗湖区百仕达,爱国路3009号,64368,塔板结合,839户,3栋,商品房,1999-2007年 ,3.2元/平米/月,深圳市阳基物业管理有限公司,深圳市阳基房地产开发有限公司
新丰大厦,罗湖区百仕达,爱国路3019号,42600,塔板结合,404户,3栋,商品房,2000-2003年 ,2.8元/平米/月,深圳市威良物业有限公司,深圳市威良投资发展有限公司
叠翠居,罗湖区百仕达,水库新村193号,54121,塔楼/板楼,154户,6栋,商品房,2001年 ,2.5元/平米/月,深圳市新村物业管理有限公司,深圳市润裕地产开发有限公司
金泰名苑,罗湖区百仕达,太宁路18号,56906,塔板结合,120户,4栋,商品房,2001年 ,2.8元/平米/月,深圳百仕达物业管理有限公司,深圳市金德海实业发展有限公司
翠苑住宅小区,罗湖区百仕达,太宁路99号,46134,塔板结合,364户,6栋,商品房,1993年 ,0.8元/平米/月,深圳中航物业管理有限公司,暂无资料
东湖丽苑,罗湖区百仕达,爱国路3001号,57090,板楼/塔板结合,556户,17栋,商品房,1981-1993年 ,0.8元/平米/月,深物业物业管理有限公司,深圳经济特区房地产（集团）股份有限公司
泰宁花园,罗湖区百仕达,爱国路3033号,46045,塔板结合,954户,7栋,商品房,1995-1996年 ,3.25至3.5元/平米/月,深圳市泰宁物业管理有限公司,深圳市文华实业开发公司
慢性病防治中心罗湖,罗湖区百仕达,布心路2021号,46773,塔板结合,28户,1栋,商品房,1992年 ,2.8元/平米/月,深圳市新东升物业管理有限公司,无开发商
翠竹苑,罗湖区百仕达,东门北路2057号,64335,塔楼/塔板结合,1989户,73栋,商品房/经济适用房,1982-2010年 ,0.8至3.5元/平米/月,深业物业管理有限公司,深圳经济特区房地产（集团）股份有限公司
翠苑大厦,罗湖区百仕达,太宁路99号,46765,塔楼,352户,2栋,商品房,1997年 ,3元/平米/月,深圳中航物业管理有限公司,深圳市中航地产发展有限公司
东湖医院住宅楼,罗湖区百仕达,布心路2019号,36450,塔板结合,92户,4栋,商品房,1983-1993年 ,0.8元/平米/月,深圳市粤海物业管理有限公司,东湖地产
罗湖区委宿舍,罗湖区百仕达,"翠竹路1082号, 翠竹路1084号",50488,板楼,56户,1栋,商品房,1991-2000年 ,3.3元/平米/月,暂无信息, 五指山水墨雨林置业有限公司
太明居,罗湖区百仕达,太安路182号,47769,板楼,78户,1栋,商品房,1994-1997年 ,1.8元/平米/月,无物业管理服务,暂无资料
华达园公寓,罗湖区百仕达,布心路2083号,42896,塔板结合,960户,1栋,商品房,2002-2005年 ,3.2元/平米/月,深圳市志诚物业管理有限公司,深圳市光彩红房地产开发有限公司
翠竹路1084号,罗湖区百仕达,翠竹路1084号,0,塔板结合,126户,2栋,商品房,1991年 ,1元/平米/月,暂无信息,暂无信息
东乐南苑,罗湖区百仕达,太安路71号,0,平房,107户,1栋,商品房,暂无信息 ,2.5元/平米/月,深圳市中圳物业管理,暂无信息
二十九号大院,罗湖区百仕达,"东门北路2077号, 东门北路2081号",42289,板楼,133户,9栋,商品房/使用权,1984-1995年 ,0.92元/平米/月,深圳市城建物业管理有限公司,暂无资料
水库市场综合楼,罗湖区百仕达,水库市场综合楼,50692,板楼,73户,1栋,商品房,1998年 ,1元/平米/月,深圳市新村物业管理有限公司, 嘉兴世茂新世纪置业有限公司
中威联实业有限公司工会宿舍,罗湖区百仕达,太安路45号,37623,板楼/塔板结合,107户,2栋,商品房,1980-1989年 ,1.8元/平米/月,深圳市恒安物业管理有限公司,南通中威房地产开发有限公司
逸翠大厦,罗湖区百仕达,翠竹路1058号,0,塔板结合,432户,1栋,商品房,1998-1999年 ,3元/平米/月,暂无信息, 石家庄博皓房地产开发公司有限公司
康宁医院宿舍楼,罗湖区百仕达,翠竹路1080号,59036,塔板结合,16户,2栋,商品房,1988-2002年 ,0.8元/平米/月,深圳市城建物业管理有限公司,深圳市城建开发集团公司
大头岭,罗湖区百仕达,翠竹路1112号,57412,平房,303户,9栋,商品房,1985-1995年 ,1.8元/平米/月,城建物业管理有限公司,深圳市城建物业管理有限公司
