名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
百步亭现代城,江岸百步亭,百步亭花园路6号,0,塔楼/板楼,1038户,4栋,商品房,暂无信息 ,3至3.5元/平米/月,暂无信息,武汉安居工程发展有限公司
新荣苑,江岸百步亭,后湖大道362号,11572,板楼/塔板结合,801户,14栋,商品房/动迁安置房/使用权/拆迁还建房,暂无信息 ,1至2元/平米/月,暂无信息, 重庆桥达茂宸房地产开发有限公司
长投景城汉口年华,江岸百步亭,温馨路长投景城汉口年华,18457,塔楼/板楼/塔板结合,1633户,5栋,商品房,暂无信息 ,2.4至3.5元/平米/月,湖北长港联物业管理有限公司,湖北长业地产开发投资有限公司
圣诚阳光丽景,江岸百步亭,后湖百步亭花园路圣诚阳光丽景,0,塔楼,532户,5栋,商品房/私产,暂无信息 ,2.6元/平米/月,武汉豪安物业管理有限公司,武汉浩思房地产开发有限公司
百步亭现代城4区,江岸百步亭,百步亭花园路6号,21238,塔板结合,1357户,10栋,商品房/使用权/私产,暂无信息 ,2.6至3.5元/平米/月,武汉百步亭花园物业管理有限公司,武汉百步亭联合置业有限公司
中城青年汇,江岸百步亭,兴业路与解放大道交汇处,10504,塔楼,391户,1栋,商品房/限价商品房,暂无信息 ,2.35元/平米/月,武汉招商局物业管理有限公司,武汉中央商务区建设投资股份有限公司
城开二七城市广场,江岸百步亭,解放大道城开二七城市广场,13419,板楼/塔板结合,1190户,6栋,商品房,暂无信息 ,1.98至2.5元/平米/月,暂无信息,武汉城开房地产开发有限公司
万锦公馆,江岸百步亭,后湖南路1号,18709,板楼,232户,1栋,商品房,暂无信息 ,2元/平米/月, 武汉宏安物业管理有限公司,武汉市京楚置业有限公司
方舟小区,江岸百步亭,兴业路324附5号,13158,板楼/塔板结合,452户,7栋,商品房/私产,暂无信息 ,0.5至0.8元/平米/月,街道办事处（居委会）代管物业,武汉黎明房地产开发有限责任公司
现代城2区,江岸百步亭,百步亭花园路18号,19692,塔楼/板楼/塔板结合,1654户,21栋,商品房/使用权,暂无信息 ,1.7至10元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
华森佳园,江岸百步亭,解放大道2697附近,11522,塔楼,760户,5栋,商品房/经济适用房,暂无信息 ,1.2元/平米/月,武汉美好物业管理有限公司, 中国奥园地产集团股份有限公司
安居苑B区,江岸百步亭,安居路52号,11774,板楼,731户,13栋,商品房/经济适用房/私产,暂无信息 ,0.65元/平米/月,武汉百步亭花园物业管理有限公司,武汉安居工程发展有限公司
秀泽园南区,江岸百步亭,兴业路296号,12720,板楼,277户,6栋,商品房/私产,暂无信息 ,0.6元/平米/月,湖北泰跃物业管理有限责任公司,无开发商
怡康苑北区,江岸百步亭,安居西路88号,15344,板楼,981户,31栋,商品房/经济适用房/限价商品房/使用权/私产,暂无信息 ,0.7至1.4元/平米/月,暂无信息,武汉安居工程发展有限公司
银泰御华园三期,江岸百步亭,江岸新村174号,20109,塔板结合,1130户,5栋,商品房,暂无信息 ,2.6至2.9元/平米/月,武汉市嘉邦物业管理有限责任公司,武汉银泰嘉园置业有限公司
长江委长顺园,江岸百步亭,百步亭花园路20号,10664,板楼,512户,12栋,商品房/房改房/使用权/私产,暂无信息 ,0.9元/平米/月,武汉百步亭物业管理有限公司,无开发商
长湖地三村,江岸百步亭,连城中路长湖地三村,11371,板楼,260户,10栋,商品房/房改房/经济适用房/使用权/私产,暂无信息 ,1.5元/平米/月,小区自主物业,A8音乐电媒控股有限公司
福星惠誉榜YOUNG,江岸百步亭,后湖大道新生活摩尔城向东100米,16038,塔楼/塔板结合,2636户,8栋,商品房/动迁安置房/使用权/私产/拆迁还建房,暂无信息 ,2.5至3元/平米/月,福星智慧家物业服务有限公司,湖北福星惠誉后湖置业有限公司
