名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
万科金域蓝湾,香洲区老香洲,情侣中路金域蓝湾,38858,塔楼,587户,5栋,商品房/使用权,暂无信息,3.46元/平米/月,南京万科物业管理有限公司,珠海市万科房地产有限公司
珠都国际广场,香洲区老香洲,凤凰路珠都国际广场,19401,塔楼,337户,2栋,商品房,暂无信息,1.2元/平米/月,珠海珠都集团物业管理有限公司,珠海市珠都房产发展有限公司
桃花源一期,香洲区老香洲,神前路89号,27918,板楼/塔板结合,424户,8栋,商品房,暂无信息,2.88至2.95元/平米/月,中海物业管理有限公司珠海分公司,中海地产(珠海)有限公司
恒福阁,香洲区老香洲,乐园路68号,29540,塔楼,325户,2栋,商品房,暂无信息,1.9元/平米/月,恒隆物业,恒隆集团汇成开发有限公司
富之岛,香洲区老香洲,凤凰路4号,20932,塔楼,292户,4栋,商品房,暂无信息,0.6至1元/平米/月,珠海市原兴物业管理有限公司,珠海供销企业集团有限公司房产开发经营部
凤凰花园,香洲区老香洲,凤凰北路凤凰花园,26381,塔楼,1060户,4栋,商品房/私产,暂无信息,1.6元/平米/月,珠海市中泳物业管理有限公司,东莞市中帆房地产开发有限公司
扬名海邑,香洲区老香洲,情侣中路扬名海邑,29576,塔板结合,224户,2栋,商品房,暂无信息,1.8元/平米/月,香港仲量联行,珠海市盛鸿置业有限公司
每一间,香洲区老香洲,香洲区情侣北路每一间,27915,塔板结合,757户,13栋,商品房,暂无信息,2.5至2.6元/平米/月,暂无信息,中化方兴房地产开发(珠海)有限公司
华南名宇,香洲区老香洲,梅华东路华南名宇,22329,塔板结合,2953户,19栋,商品房/动迁安置房/使用权/私产/回迁房,暂无信息,0.9至1.8元/平米/月,珠海市真诚物业管理有限公司,珠海市森宇房产开发有限公司
沁园上舍,香洲区老香洲,狮山路沁园上舍,27220,板楼,595户,1栋,商品房,暂无信息,1.5元/平米/月,珠海市中珠物业管理有限公司,珠海市联浩房产开发有限公司
宁海花园,香洲区老香洲,乐园路宁海花园,25093,板楼,325户,4栋,商品房,暂无信息,1.2元/平米/月,暂无信息,珠海泽红房产开发有限公司 
国子间,香洲区老香洲,凤凰北路国子间,41496,塔楼,675户,1栋,商品房,暂无信息,3.8元/平米/月,深圳市彩生活物业管理有限公司,珠海市德诚置业有限公司
星海湾,香洲区老香洲,情侣中路星海湾,30149,板楼,253户,2栋,商品房,暂无信息,1.8元/平米/月,珠海市田地物业管理有限公司,珠海市联合置业有限公司 
华海花园,香洲区老香洲,华海路华海花园,23736,板楼,161户,3栋,商品房,暂无信息,0.85元/平米/月,珠海市城市物业管理有限公司,珠海经济特区美龙置业发展有限公司
金海湾花园,香洲区老香洲,情侣中路219号,25212,塔楼,192户,1栋,商品房,暂无信息,2.9元/平米/月,珠海经济特区珠光物业管理公司,珠海经济特区珠光房产开发有限公司
鑫北花园,香洲区老香洲,海燕路5号,25192,板楼,450户,3栋,商品房,暂无信息,1.6元/平米/月,珠海承旭物业管理有限公司,珠海市鑫北发展有限公司
钰海名门,香洲区老香洲,沿河东路399号,23890,塔楼,382户,3栋,商品房/房改房,暂无信息,2元/平米/月,珠海市锦豪物业服务有限公司,珠海市三好房地产开发有限公司
紫荆豪庭,香洲区老香洲,兴华路38号,23927,板楼,328户,10栋,商品房/私产,暂无信息,1元/平米/月,珠海市广地物业有限公司,紫荆豪庭房地产开发有限公司
南厦丰泽园,香洲区老香洲,"夏美路一巷35号, 夏美路161号",23896,塔楼/塔板结合,1852户,19栋,商品房/房改房/私产/回迁房,暂无信息,0.5至1.5元/平米/月,暂无信息,珠海市三好房地产开发有限公司
好景花园,香洲区老香洲,沿河东路31号,18162,塔板结合,745户,41栋,商品房,暂无信息,0.4元/平米/月,珠海市家家信物业管理有限公司,珠海市第二城市开发有限公司
阳光都市,香洲区老香洲,狮山路193号,21863,塔楼,243户,2栋,商品房/私产,暂无信息,1.1至1.3元/平米/月,珠海市三好物业管理有限公司,未知
