名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
五道营胡同,东城安定门,五道营胡同,294791,平房,201户,42栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
外馆东街50号院,朝阳安定门,外馆东街50号院,94543,塔楼/板楼,249户,3栋,暂无信息,暂无信息,0.6至0.8元/平米/月,北京住总北宇物业管理有限责任公司,北京住总房地产开发有限责任公司
安外西河沿,东城安定门,安外西河沿,103053,板楼/塔板结合/平房,1739户,38栋,暂无信息,暂无信息,0.5元/平米/月,单位自管物业,无开发商
巷上嘉园,东城安定门,安德路甲10号院,112752,塔楼/板楼,462户,4栋,暂无信息,暂无信息,2.88元/平米/月,北京祥洪永佳物业管理有限公司,北京中房万丰房地产开发有限公司
中绦胡同甲2号院,东城安定门,中绦胡同甲2号院,138639,板楼,216户,2栋,暂无信息,暂无信息,0.8元/平米/月,北京首华物业管理公司,无开发商
花园胡同,东城安定门,花园胡同,110988,板楼/平房,370户,21栋,暂无信息,暂无信息,9元/平米/月,无物业管理服务,无开发商
花园前巷,东城安定门,花园前巷,190071,平房,17户,5栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
花园胡同8号院,东城安定门,花园胡同8号院,130244,板楼,160户,3栋,暂无信息,暂无信息,暂无信息,单位自管物业,无开发商
花园东巷,东城安定门,"花园东巷, 花园东巷6号",189053,平房,29户,11栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
湖景苑,东城安定门,安德里北街甲22号,107759,板楼/塔板结合,418户,5栋,暂无信息,暂无信息,2.17至2.53元/平米/月,北京维佳物业管理有限责任公司,北京城乡建设集团有限责任公司
黄寺大街2号院,东城安定门,黄寺大街2号院,105744,板楼,264户,2栋,暂无信息,暂无信息,0.5至0.6元/平米/月,北京天岳恒房屋经营管理有限公司,无开发公司
青年湖北里,东城安定门,青年湖北里,106081,塔楼/板楼/塔板结合,957户,9栋,暂无信息,暂无信息,0.5至2.2元/平米/月,北京市化工轻工总公司自管物业,北京市东城区住宅建设开发公司
青年湖北街,东城安定门,青年湖北街,122384,塔楼,289户,3栋,暂无信息,暂无信息,1.7元/平米/月,暂无信息,城建
青年湖南里,东城安定门,青年湖南里,104317,塔板结合,273户,3栋,暂无信息,暂无信息,1至1.1元/平米/月,暂无信息,北京市东开城市建设综合开发公司
青年湖南街6号院,东城安定门,青年湖南街6号院,107560,板楼,60户,1栋,暂无信息,暂无信息,1.3元/平米/月,北京维佳物业管理有限责任公司,北京市东城区住宅建设开发公司
青年湖西里,东城安定门,青年湖西里,121070,板楼/平房,398户,9栋,暂无信息,暂无信息,0.8元/平米/月,无物业管理服务,北京住总置业有限公司
前肖家胡同,东城安定门,前肖家胡同,245205,平房,14户,5栋,暂无信息,暂无信息,暂无信息,无物业管理服务,暂无信息
青年湖南街,东城安定门,青年湖南街,100806,板楼/塔板结合,384户,3栋,暂无信息,暂无信息,1至2.17元/平米/月,单位自管物业,无开发商
东绦胡同,东城安定门,安定门二环内,169365,平房,48户,14栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
华府景园,东城安定门,安外大街11号院,103565,塔板结合,324户,6栋,暂无信息,暂无信息,2.48元/平米/月,北京天鸿宝地物业管理经营有限公司,北京强佑房地产开发有限公司
国子监街,东城安定门,国子监街,227068,平房,354户,84栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
国祥胡同,东城安定门,国祥胡同,141003,板楼/平房,66户,12栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
国祥胡同4号院,东城安定门,国祥胡同4号院,140959,板楼,123户,2栋,暂无信息,暂无信息,暂无信息,业主自筹物业,无开发商
官书院,东城安定门,永康胡同2号院,136682,板楼,486户,7栋,暂无信息,暂无信息,2.53元/平米/月,北京兰基物业管理有限公司,北京天石恒房地产开发有限公司
大格巷,东城安定门,大格巷,195179,平房,87户,23栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
京宝花园,东城安定门,安定门外大街,77567,板楼,350户,1栋,暂无信息,暂无信息,3.88元/平米/月,北京宝景物业管理有限公司,北京首开天鸿集团有限公司
车辇店胡同,东城安定门,车辇店胡同,119483,板楼/塔板结合/平房,416户,18栋,暂无信息,暂无信息,1.1元/平米/月,无物业管理服务,北京京湘房地产开发有限责任公司
柴棒胡同,东城安定门,柴棒胡同,208662,平房,181户,27栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
凯景铭座,朝阳安定门,外馆东街51号院,75294,塔楼/塔板结合,290户,2栋,暂无信息,暂无信息,2.63至2.68元/平米/月,北京均豪物业管理有限责任公司,北京强佑房地产开发有限公司
净土胡同,东城安定门,净土胡同,295000,平房,220户,55栋,暂无信息,暂无信息,暂无信息,无物业管理服务,无开发商
华世隆国际公寓,东城安贞,北三环东路37号,53902,塔楼,151户,2栋,暂无信息,暂无信息,4元/平米/月,北京中道物业管理有限公司,北京首元房地产开发有限公司
豪威家园,朝阳安贞,和平街,81047,板楼,206户,1栋,暂无信息,暂无信息,1.65元/平米/月,北京乐都物业管理中心,北京豪威嘉业房地产开发有限公司
皇姑坟小区,朝阳安贞,皇姑坟,67764,板楼,636户,4栋,暂无信息,暂无信息,0.55至0.6元/平米/月,首华物业公司,无开发商
安贞苑50号院,东城安贞,安贞苑50号院,108069,板楼,498户,4栋,暂无信息,暂无信息,1.8元/平米/月,首华物业公司,无开发商
安圣苑,东城安贞,安定路20号院,94318,塔楼/板楼,264户,2栋,暂无信息,暂无信息,0.6至2元/平米/月,北京宸居物业管理有限责任公司,北京全联房地产开发有限公司
大龙公寓,东城安贞,兴化路6号院,110515,塔楼,352户,2栋,暂无信息,暂无信息,1.98元/平米/月,北京万达物业管理中心,无开发公司
富仁名苑,朝阳安贞,胜古北里,87336,塔楼/塔板结合,1157户,6栋,暂无信息,暂无信息,2.8元/平米/月,北京安港物业管理有限公司,北京城韵房地产开发有限公司
国典华园,朝阳安贞,安定路12号院,99540,塔楼/塔板结合,1466户,7栋,暂无信息,暂无信息,2.5元/平米/月,北京市治平物业管理有限责任公司,北京国电房地产开发有限公司
胜古誉园,朝阳安贞,胜古中路甲1号院,0,塔楼,763户,4栋,暂无信息,暂无信息,3.98元/平米/月,北京房修一物业管理有限公司,北京盛达兴业房地产开发有限公司
