名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司
海上国际花园(一期),浦东北蔡,成山路2399弄2-91号,89871, 板楼, 958户, 85栋, 商品房/动迁安置房/使用权, 2005-2006年 , 1.5至2.89元/平米/月, 上海万科物业服务有限公司
由由三村,浦东北蔡,"严中路140弄,严杨路116弄,严杨路166弄",56141, 板楼, 1228户, 95栋, 商品房/售后公房/动迁安置房/使用权, 1991-2001年 , 0.45至0.8元/平米/月, 暂无信息
欣顺小区,浦东北蔡,下南路309弄1-22号,50700, 板楼, 396户, 22栋, 商品房, 1995-1997年 , 0.5元/平米/月, 上海绿地物业服务有限公司
莲园路488-518号,浦东北蔡,"莲园路518号, 莲园路488号, 莲园路498号, 莲园路508号",45773, 板楼, 96户, 4栋, 商品房/售后公房/动迁安置房, 1994-1996年 , 0.35至0.5元/平米/月, 上海莲溪物业管理有限公司
芳华路713弄,浦东北蔡,芳华路713弄,49183, 板楼, 360户, 24栋, 商品房/已购公房/动迁安置房, 1994-1996年 , 0.6元/平米/月, 上海花木物业
芳草路253弄,浦东北蔡,芳草路253弄,67910, 板楼, 100户, 9栋, 商品房/动迁安置房, 2001年 , 0.35元/平米/月, 上海源开房地产开发公司
莲中路250弄,浦东北蔡,莲中路250弄,53491, 板楼, 238户, 17栋, 商品房/动迁安置房, 1994-1997年 , 0.45至0.8元/平米/月, 上海万泰物业管理有限公司
新陈路428弄,浦东北蔡,新陈路428弄,51729, 板楼, 156户, 12栋, 商品房, 1993年 , 0.5元/平米/月, 上海建工物业有限公司
芳华苑,浦东北蔡,"芳华路329弄,芳华路503弄",59732, 板楼, 546户, 45栋, 商品房/使用权, 1994-2001年 , 0.6至0.65元/平米/月, 上海良新物业
花木新村,浦东北蔡,芳华路310弄,51638, 板楼, 630户, 45栋, 商品房/动迁安置房, 1994-1996年 , 0.35至0.8元/平米/月, 上海浦东新区花木物业公司
芳华路673弄,浦东北蔡,芳华路673弄,53530, 板楼, 228户, 18栋, 商品房, 1995-1996年 , 0.6元/平米/月, 上海市花木物业
芳佳苑,浦东北蔡,芳草路36弄,70850, 板楼, 290户, 25栋, 商品房/售后公房, 1999-2001年 , 0.68至2.93元/平米/月, 长华物业公司
芳芯苑,浦东北蔡,"芳草路352弄, 芳芯路363弄",55437, 板楼, 540户, 43栋, 商品房/售后公房/动迁安置房, 1994-2003年 , 0.35至0.75元/平米/月, 上海航帆物业管理有限公司
莲文苑,浦东北蔡,莲园路77弄,73682, 板楼, 342户, 27栋, 商品房/动迁安置房, 2004年 , 0.8至1.1元/平米/月, 上海东莲物业管理公司
金旋小区,浦东北蔡,"北艾路1128弄1-28号,北艾路1130弄1-5号",56064, 板楼, 734户, 33栋, 商品房/动迁安置房, 1994-1995年 , 0.8元/平米/月, 任傶物业
芳华路253弄,浦东北蔡,芳华路253弄,57166, 板楼, 330户, 24栋, 商品房/动迁安置房, 1995-1996年 , 0.65至0.8元/平米/月, 上海花木物业
芳华路411弄,浦东北蔡,芳华路411弄,57328, 板楼, 224户, 17栋, 商品房/动迁安置房, 1995-1996年 , 0.6元/平米/月, 花木物业
芳华路229弄,浦东北蔡,芳华路229弄,56506, 板楼, 294户, 26栋, 商品房/动迁安置房/使用权, 1998年 , 0.35至0.65元/平米/月, 上海花木物业
联勤小区,浦东北蔡,锦绣路3841弄,45019, 板楼, 312户, 26栋, 商品房, 1998年 , 0.5至1.2元/平米/月, 上海长银物业发展有限公司
南新三村,浦东北蔡,下南路339弄,45510, 板楼, 1040户, 66栋, 商品房/售后公房/动迁安置房, 1994-1997年 , 0.8元/平米/月, 上海长银物业发展有限公司
连波路66弄,浦东北蔡,连波路66弄,56876, 板楼, 93户, 7栋, 商品房, 1994-1995年 , 0.65至0.8元/平米/月, 泰欣物业
芳华路268弄,浦东北蔡,芳华路268弄,59453, 板楼, 312户, 28栋, 商品房/动迁安置房/使用权, 1994-1996年 , 0.65至0.85元/平米/月, 上海陆家嘴双乐物业管理有限公司
绿川小区,浦东北蔡,"博华路999弄,博华路1018弄",46464, 板楼, 1914户, 150栋, 商品房/售后公房/动迁安置房/使用权, 1995-1997年 , 0.5至0.8元/平米/月, 上海长银物业发展有限公司
虞泽苑,浦东北蔡,"鹏飞路101弄,鹏飞路51弄",70475, 板楼, 738户, 16栋, 商品房/动迁安置房, 2012年 , 1.12元/平米/月, 上海莲溪物业管理有限公司
大华锦绣华城(十九街区)(别墅),浦东北蔡,锦绣路3338弄,105613, 板楼, 84户, 84栋, 商品房, 2003-2006年 , 1.35元/平米/月, 上海浦华物业管理有限公司
