名称,区镇,地址,单价,建筑类型,房屋总数,楼栋总数,交易权属,建成年代,物业费,物业公司,开发商
桃林小区,浦东源深,"民生路818弄,灵山路701弄",90097,塔楼/板楼/平房,1008户,43栋,商品房/动迁安置房/使用权,1990-1999年 ,1.2元/平米/月,上海建工物业有限公司,上海陆洋物业管理有限公司
盛世年华,浦东源深,"羽山路100弄, 羽山路04.14-20号",0,板楼,1569户,34栋,商品房/动迁安置房/使用权,2005-2007年 ,2.8元/平米/月,上海浦东物业管理公司,上海三味企业发展有限公司
桃林一小区,浦东源深,灵山路600弄,96101,板楼,617户,45栋,商品房/动迁安置房/使用权,1994-1996年 ,0.5至1.2元/平米/月,上海陆洋物业管理有限公司,上海陆洋物业管理有限公司
竹园高层,浦东源深,"张杨路1050弄, 张杨路1318号, 张杨路1308号, 张杨路1338号, 张杨路1348号, 福山路309号, 张杨路1328号",76938,塔楼,2138户,12栋,商品房/售后公房/动迁安置房/使用权,1989-1999年 ,1至1.6元/平米/月,上海申厦物业有限公司,上海第八房地产开发公司
山水国际,浦东源深,羽山路383弄,119685,板楼,1207户,23栋,商品房/动迁安置房/使用权,2000-2006年 ,2.85至3.5元/平米/月,上海绿城物业有限公司,上海陆洋泾经济联合发展有限公司
金博尚品苑(办公楼),浦东源深,张杨路1518号,0,板楼,204户,3栋,商品房,2009年 ,20元/平米/月,暂无信息,暂无信息
福竹小区,浦东源深,张杨路1000弄,80897,板楼,390户,17栋,商品房/已购公房/售后公房/使用权,1988-1989年 ,0.8至0.85元/平米/月,潍坊物业,上海浦房集团
陆家嘴公馆,浦东源深,张杨路1550弄,109923,板楼,150户,4栋,商品房/动迁安置房,2010年 ,9.8元/平米/月,第一太平戴维斯,上海陆家嘴(集团)有限公司
源竹小区(南片),浦东源深,潍坊路266-282号,79696,板楼,204户,9栋,商品房/售后公房/动迁安置房/使用权,1988-1989年 ,0.45至1元/平米/月,潍坊物业,上海建工集团
证大宽域,浦东源深,"张杨路1500弄, 张杨路1500弄29号",101248,板楼,287户,4栋,商品房/动迁安置房,2009年 ,5元/平米/月,上海证大物业管理有限公司,上海恒锦房地产发展有限公司
新天家园,浦东源深,桃林路1141弄,103542,板楼,340户,8栋,商品房/动迁安置房/使用权,2001年 ,1.85元/平米/月,上海富都物业管理有限公司,上海新高房地产有限公司
香榭丽花园,浦东源深,松林路333弄,104770,板楼,767户,17栋,商品房/使用权,2001-2003年 ,2.5元/平米/月,浦房物业服务中心有限公司,上海龙仓置业有限公司
陆家嘴花园(二期),浦东源深,羽山路308弄,128437,板楼,1138户,46栋,商品房/动迁安置房/使用权,2002-2004年 ,3元/平米/月,上海陆家嘴物业管理公司,上海陆家嘴房产开发有限公司
